,Unnamed: 0,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class
0,0,TextGrid/-Perseus.xml,"
                                    Philippus mit 2. oder 3.",0,61,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation
1,1,TextGrid/-Perseus.xml,Dienern / darnach kommet Perseus.,62,95,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation
2,2,TextGrid/-Perseus.xml, Nvn habe ich warlich grossen Fug vnd Vrsache / den vnsterblichen Götteren ewiges Lob / Preiß vnd Danck zu sagen / nach dem mir alle meine Händel / vnd was ich die gantze Zeit meiner Regierung über angefangen / so wol vnd glücklich von statten gangen: Dann nicht allein befinde ich / daß das Glück in diesem mir sehr gönstig vnd geneigt / daß ich ein gewaltiger Monarch vnd großmächtiger König so vieler vortrefflichen Reiche / Länder vnd Provincien worden bin / besondern / ich habe mich auch über das alles dessen zuerfrewen / daß ich solche meine gewaltige Königreiche vnd Herrschafften recht vnnd wohl kan regieren / zu meinem selbst eigenem Lobe / vnd meiner Vnterthanen besten vnd gedeilichen Wolfahrt.,0,708,character_speech,1,1,,PHILIPPUS.,PHILIPPUS.,1.0,UNKNOWN,joy,positive,emotions of pleasure
3,3,TextGrid/-Perseus.xml,"Benebenst solcher Königlichen Glückselichkeit / bin ich auch mit vielen anderen Güteren / so zu diesem meinem Königlichen Leben gehörig / von den Göttern zur genüge begäbet / Denn nicht allein sind meine Schätze vnd Rentkammeren mit einem grossen Einkommen von Goldt vnd Silber versehen / meine Zeughäuser mit notwendiger kriegsrüstung vnd Munition herrlich zugerichtet / meine Mahrställe mit dem allermuhtigsten Caballen vnnd Rossen erfüllet / meine Schlösser vnd Städte mit den tapffersten Soldaten besetzet; Besondern ich habe vnd halte auch an meinem Hofe die allertrefflichsten Leute / meine hochverständige Rähte / die aller klügeste Männer deß gantzen Königreiches Macedonien, alse rechtschaffene auffrichtige Favoriten vnd Diener / durch welcher 
getrewen Raht vnd kluge Anschläge / ich meine Königreiche / Länder vnd Provincien recht vnd wol gubernieren vnd regieren kan.",709,1589,character_speech,1,1,,PHILIPPUS.,PHILIPPUS.,1.0,UNKNOWN,joy,positive,emotions of pleasure
4,4,TextGrid/-Perseus.xml,"Wann ich anschawe meine beyde Königliche Printzen / hüpffet mir mein Hertz gleich vor Frewden / vnd möchte ich nunmehr nichtes so sehr vnd hertzlich wünschen / als daß jhre verstorbene Fraw Mutter vnd Königin / mein gewesenes allerliebstes Gemahl zu dieser Zeit mit jhren Augen möchte anschauwen / wie diese jhre hinterlassene Söhne / so lieblich in Reden / anmühtig in Gebehrden / freundtlich gegen jederman / verständig in Bürgerlichen Sachen / tapffer vnd vnerschrocken im Kriege erfunden werden / das ich mich so wol jhrenthalben / alse auch meiner gewaltigen Königreiche / Länder vnnd Provincien, grossen Reichtuhms vnd Freunde wegen / billich für den allerglückseligsten Potentaten der Welt mag schetzen.",1590,2300,character_speech,1,1,,PHILIPPUS.,PHILIPPUS.,1.0,UNKNOWN,joy,positive,emotions of pleasure
5,5,TextGrid/-Perseus.xml,Eines nur ist übrig / welches mich in so grosser glück Seligkeit sehr hefftig beschweret / nemlich das grosse Glück / vnd der übermachte stoltz vnnd Hochmuth meiner abgesagten Feinde der Römer.,2301,2494,character_speech,1,1,,PHILIPPUS.,PHILIPPUS.,1.0,UNKNOWN,joy,positive,emotions of pleasure
6,6,TextGrid/-Perseus.xml,Vnd warlich wann ich bey mir betrachte / was so wol mir als meinen Vorfahren für ein grosser Spott / Schimpf vnd Schaden von gedachten Römeren ist erwiesen / will mir mein Hertz vor grossem Vnmuth vnd Zorn gleich zerspringen / will mich derowegen alßdann erstlich für recht glückselig schätzen / wenn ich mich an solchen meinen Feinden auff das grausambste gerochen / vnd sie entweder mit gewalt oder list habe vberwunden.,2495,2917,character_speech,1,1,,PHILIPPUS.,PHILIPPUS.,1.0,UNKNOWN,Schadenfreude,positive,emotions of pleasure
7,7,TextGrid/-Perseus.xml,"Mich wundert zwar fast kein Dingk vnter der Sonnen so sehr / alse das fast alle Welt davor helt / das Römische Volck sey vnüberwindtlich / es könne vnd möge dasselbe niemandt vberweltigen / Jch aber bin viel einer andern Meinung / denn ob ich wol nicht möchte eine so grosse Kriegesmacht zu wegen bringen können / jhren Gewalt gentzlich zu dempffen / so wil ich doch so mancherley List vnd practiquen erdencken / daß mirs nicht wol fehlen soll / jhnen 
jhren stoltz vnd Hochmuth redlich zubezahlen / doch muß ich mich vnter dessen gantz freundtlich vnd demühtig gegen sie stellen / damit sie ja nicht innen werden / was für seltzame Anschläge ich vorhabe / Perseus gehet ein.",0,675,character_speech,1,1,,PHILIPPUS.,PHILIPPUS.,1.0,UNKNOWN,no_annotation,no_annotation,no_annotation
8,8,TextGrid/-Perseus.xml,dann dieses Volck zuvberwinden / da gehöret mehr Verstandt alse Macht vnd Gewalt zu.,676,760,character_speech,1,1,,PHILIPPUS.,PHILIPPUS.,1.0,UNKNOWN,abhorrence,negative,emotions of rejection
9,9,TextGrid/-Perseus.xml,"Aber sihe da mein Sohn Perseus, ich muß doch vernehmen / wie sein Gemüth / Raht vnd Gutdüncken hierinnen beschaffen sein möge.",761,887,character_speech,1,1,,PHILIPPUS.,PHILIPPUS.,1.0,UNKNOWN,"admiration, reverence",positive,emotions of affection
10,10,TextGrid/-Perseus.xml, Großmächtigster König / allergnedigster Herr Vater / die Götter verleihen E[wer] May[ estät] Gluck / Heil vnd langes Leben.,0,124,character_speech,1,1,,PERSEUS.,PERSEUS.,2.0,UNKNOWN,"admiration, reverence",positive,emotions of affection
11,11,TextGrid/-Perseus.xml, Die Götter erfüllen diesen Wünsch geliebter Sohn / aber sage an / woher vor diesesmahl / was hat man gutes newes.,0,114,character_speech,1,1,,PHILIPPUS.,PHILIPPUS.,3.0,UNKNOWN,no_annotation,no_annotation,no_annotation
12,12,TextGrid/-Perseus.xml, Großmächtigster König allergnedigster Herr Vater / E[wer] Mäystätt weiß sich zweifels ohn zu entsinnen / was massen nach weinig tagen die General Musterunge vnd Heerschauwunge des Macedonischen Kriegesvolckes altem Gebrauch nach wird gehalten werden / alse habe ich im Königlichen Marstalle die reisige Pferde / so dazu nötig sein werden / besichtiget / damit alles bey Zeiten recht vnd wol versehen werde.,0,407,character_speech,1,1,,PERSEUS.,PERSEUS.,4.0,UNKNOWN,"admiration, reverence",positive,emotions of affection
13,13,TextGrid/-Perseus.xml," Das ist sehr recht vnd wol getahn / es müssen die allgemeinen Herrschauwungen benebenst dem Rennen vnd Ritterspielen / wie es von Alters herbracht / mit allem fleisse vnd Ernst angestellet werden / damit vnser in Besatzungen liegendes Kriegesvolck / dem Macedonischen Gebrauch nach / durch schimpfliche Übungen / zu ernstem Gebrauch der Waffen zeitlich gewehnet werde / vnnd mann sich jhre Tapfferkeit in vorfallenden Kriegen zu nütze zu machen wisse; Denn du / mein Ritterlicher Sohn / zweiffele ich nicht / annoch wol eingedenck sein wirst / wie offt ich mir vorgesetzet die grosse Schmach / Hon vnd Spott / so mir von den hochmühtigen Römern erwiesen / dermahleins Heroisch zu rechnen / zu welchem Ende ich denn einen 
grossen vnd herrlichen Voraht / von Korn / Proviant / Gelt / Munition, vnd sonderlich ein außerlesenes Kriegesvolck zu wege gebracht / mit welchem ich (so bald jennige Gelegenheit wird vorfallen) mein Vornehmen ins Werck zu richten gentzlichen gesinnet bin.",0,980,character_speech,1,1,,PHILIPPUS.,PHILIPPUS.,5.0,UNKNOWN,"admiration, reverence",positive,emotions of affection
14,14,TextGrid/-Perseus.xml," Großmächtigster König / allergnedigster Herr Vater / ich bitte die vnsterbliche Götter / daß sie [Ewer] Maystätt zu solchem löblichen vnd Königlichen Vornehmen / alse einem rechtmessigen nützlichen vnd nothwendigem Kriege / alle gedeiliche prosperitæt, Heil vnd Wohlfahrt verleihen wollen / vnnd was denn meine Persohn betrifft / wünsche ich nichtes so sehr vnd hefftig / alse daß ich den Tag erleben möchte / an welchem ich mit meiner Faust / den Schimpff / Hohn vnd Schmach / meinem allergnedigsten Herren Könige vnd Vater erwiesen / auff das grausamste rechen / die hochmühtige Römer ernstlich zwingen vnd dempffen / vnnd durch Hülffe meines Schwertes dergestalt mich bezeigen möchte / das / daß das gantze Macedonische Volck jhre Frewde / Lust vnnd Ergetzligkeit daran habe vnd drage.",0,789,character_speech,1,1,,PERSEUS.,PERSEUS.,6.0,UNKNOWN,"admiration, reverence",positive,emotions of affection
15,15,TextGrid/-Perseus.xml, Perseu mein Sohn / an deiner Tapfferkeit vnd Mannlichen Gemühte zweiffele ich gantz vnd gar nicht / weiß auch gewisse / du wirst benebenst deinem Bruder Demetrio die Ehre deß Macedonischen Königreiches deinem eussersten Vermögen nach beföderen helffen / vnd weil ich denn jetzo deinen Heldenmuth spühre / ey so wil ich auch desto freudiger vnd behertzter seyn / diesen gewaltigen Krieg vor die Hand zu nehmen / damit wir vns aber so viel besser dazu rüsten können / so soll vnnd muß solches vnser Vorhaben in grossem geheimb gehalten / vnd fast keinem Menschen offenbahret werden / denn dieses wird daß einzige Mittel seyn / durch welches wir das sichere Volck der Röhmer desto besser vnd geschwinder hinderlisten vnd überweltigen können.,0,739,character_speech,1,1,,PHILIPPUS.,PHILIPPUS.,7.0,UNKNOWN,"admiration, reverence",positive,emotions of affection
16,16,TextGrid/-Perseus.xml, Großmächtigster König / allergnedigster Herr Vater / E[wer] Königl[iche] Mayestät hat an meiner gehorsamen Treuwe vnd Auffrichtigkeit gantz vnd gahr nicht zu zweifelen / erbiete mich nochmahlen (wie ich denn solches ohne daß zuthun mich schüldig erkenne) deroselben mit Raht vnd Thatt Leib vnd Leben / Gut vnd Blut biß in den Todt zu dienen.,0,342,character_speech,1,1,,PERSEUS.,PERSEUS.,8.0,UNKNOWN,"admiration, reverence",positive,emotions of affection
17,17,TextGrid/-Perseus.xml,Was aber meinen Bruder Demetrium betrifft / so weiß ich zwar nicht eigentlich / wie er in diesem Wercke gesinnet / bin aber doch fast der gäntzlichen Meinung / er trage an diesem vnserem Vornehmen gantz vnd gahr kein Gefallen / sintemahl er keine Nation in der weiten vnd breiten Welt so höchlich rühmet / alse eben der Römer / daß er auch sich gegen jhnen demühtiget vnd den Macedonischen Nahmen erniedriget / welches mich denn offt zum hefftigsten verdreust / daß er / auß Königlichem Geblühte geboren / ein solches verzagtes Hertz haben soll.,343,888,character_speech,1,1,,PERSEUS.,PERSEUS.,8.0,UNKNOWN,suffering,negative,emotions of suffering and empathy
18,18,TextGrid/-Perseus.xml," Was höre ich Perseus, ist mein Sohn Demetrius ein solcher Gönner vnd Liebhaber deß Römischen Volckes vnd Nahmens / der sich auch fürchtet mit jhnen zustreiten?",0,160,character_speech,1,1,,PHILIPPUS.,PHILIPPUS.,9.0,UNKNOWN,fear,negative,emotions of anxiety
19,19,TextGrid/-Perseus.xml,Solches hette ich warlich nimmer von jhm glauben dürffen: Doch ich muß mit jhm reden / auch zugleich Väterlich ermahnen / daß er alle vorgebliche Forcht auß seinem Gemühte schlage / er hat sich ja sonsten in Anschlägen / weiß vnd verstendig / mit der That aber / vnd der Faust / sehr fertig / Mannhafft / kühn vnd behertzt erwiesen.,161,493,character_speech,1,1,,PHILIPPUS.,PHILIPPUS.,9.0,UNKNOWN,no_annotation,no_annotation,no_annotation
20,20,TextGrid/-Perseus.xml,"Aber wir wollen hinein gehen / zu sehen / ob vnsere Colonellen, die wir Volck zuwerben außgesandt / wiederumb ankommen / damit die schwache Regimenter verstercket werden.",494,664,character_speech,1,1,,PHILIPPUS.,PHILIPPUS.,9.0,UNKNOWN,no_annotation,no_annotation,no_annotation
21,21,TextGrid/-Perseus.xml,Gehen ab.,666,675,character_speech,1,1,,PHILIPPUS.,PHILIPPUS.,9.0,UNKNOWN,no_annotation,no_annotation,no_annotation
22,22,TextGrid/-Perseus.xml,"
                                    Hans Knapkäse Laban der Bawren Knecht.",0,75,stage_direction,1,2,pre_speech,,,,,no_annotation,no_annotation,no_annotation
23,23,TextGrid/-Perseus.xml,"
                                       kompt auffgetreten mit einer Trummel am Halse / gar Närrisch bekleidet / dazu mit 5.",0,124,stage_direction,1,2,speech_part,,,1.0,UNKNOWN,no_annotation,no_annotation,no_annotation
24,24,TextGrid/-Perseus.xml,"
                                        oder 6.",0,48,character_speech,1,2,,HANS,HANS,1.0,UNKNOWN,no_annotation,no_annotation,no_annotation
25,25,TextGrid/-Perseus.xml,Degen behenget / schlegt frisch auff der Trummel vnd schreiet alßdann sehr laut.,49,129,character_speech,1,2,,HANS,HANS,1.0,UNKNOWN,no_annotation,no_annotation,no_annotation
26,26,TextGrid/-Perseus.xml,"Höret zu jhr rechtschaffene Cabbalerß / Reuters vnnd Soldaten zu Fuß vnd zu Pferde / alle die jenige / so dar lust / liebe vnd Courage haben / dem greulichen / grossen vnd erschrecklichen Könige / Don Philippo in Macedonia, vnter den Parlement / deß hochadelichen / tapfferhafften vnd Gottsjämmerlichen Braten Obristen / Herren Quidritza Charlatan, Freyherrn zu Baruthi, Erbgesessen zur Müggenburgk / Buttram vnd Sandtkuhlen / vnter mir Monsieur Iean de Knapkäse / wolbestalten Capitain über eine Compagnie Nürenbergische Tragoner zu Fusse / wie auch Regiments-Trommentambour, zu dienen / zu fechten / vnd die Leute todtzuschiessen / der verfüge sich über 8. tage / alsobald heute diesen Abendt zu mir in meine Herberge / ich gebe jhm Pour dieu Geldt auff die Handt daß es brummet.",130,911,character_speech,1,2,,HANS,HANS,1.0,UNKNOWN,"admiration, reverence",positive,emotions of affection
27,27,TextGrid/-Perseus.xml,Nun schlegt er abermahl die Tromlen / rufft auch zum andern vnd dritten mahl wie vorhin.,912,1000,character_speech,1,2,,HANS,HANS,1.0,UNKNOWN,no_annotation,no_annotation,no_annotation
28,28,TextGrid/-Perseus.xml,"
                                       kompt herauß / Bäuerisch gekleidet / vnd halb druncken / fehet also an zu reden.",0,120,stage_direction,1,2,speech_part,,,2.0,UNKNOWN,no_annotation,no_annotation,no_annotation
29,29,TextGrid/-Perseus.xml, Watme Düfel machter nu echters ins toh doinde wesen / tiß jo neen Fastelauend / dat de Jungens mit der Bunge umher lopet / vnd dar sin dick ock yo nene Saldaten / tiß yo free im Lanie / kwult likerß woll gerne wehren / wat dat ramenten mitter Bunge beduien möchte / ick bin darauer vhtem Kroge vanier Beirkanne weggelopen.,0,323,character_speech,1,2,,LABAN,LABAN,2.0,UNKNOWN,no_annotation,no_annotation,no_annotation
30,30,TextGrid/-Perseus.xml,Nu sicht er Knapkäsen.,368,390,character_speech,1,2,,LABAN,LABAN,2.0,UNKNOWN,no_annotation,no_annotation,no_annotation
31,31,TextGrid/-Perseus.xml,Süe süe doch wat de Düfel deit / wat steit dar vör en Skrubbert / de süht lien dull vth / anners nich / alse wenn he Müse fangen wull / kmut inß thom hen vnd hören tho / efft e ydt wohr ein Rottenfänger ys: Goien Dach / goien Dach Kumpahn.,391,630,character_speech,1,2,,LABAN,LABAN,2.0,UNKNOWN,suffering,negative,emotions of suffering and empathy
32,32,TextGrid/-Perseus.xml, Zanck habt / zanck habt / ey sich da / sich da / wie stehts wie gehts / ich habe dich lange nicht gesehn mein redlicher Landesmann.,0,132,character_speech,1,2,,HANS.,HANS.,3.0,UNKNOWN,"admiration, reverence",positive,emotions of affection
33,33,TextGrid/-Perseus.xml, Wo thom kranck ys dat goie Fründt / kenn gy my wohr dat jyinck so driest anspreckt?,0,84,character_speech,1,2,,LABAN.,LABAN.,4.0,UNKNOWN,no_annotation,no_annotation,no_annotation
34,34,TextGrid/-Perseus.xml, Ey was kennen / wie solte ich euch nicht kennen / aber sonsten habe ich euch niemahls vor diesem gesehen / habe auch mein Lebtage nicht von euch gehöret.,0,154,character_speech,1,2,,HANS.,HANS.,5.0,UNKNOWN,suffering,negative,emotions of suffering and empathy
35,35,TextGrid/-Perseus.xml, Wo du bistemck yo woll ein dummen Düfel / segst du heffstmck dyn dage nicht sehen / ock heffstu nichts vamke höret / ick löue by den faldtswunien du brüdest de Lüde wat.,0,170,character_speech,1,2,,LABAN.,LABAN.,6.0,UNKNOWN,anger,negative,emotions of rejection
36,36,TextGrid/-Perseus.xml, Pfui schemst du dich nicht du grober Esel / siehst du nicht daß ich ein Juncker bin / dazu auch ein Kaffzein / vnd du darffst mich noch dauw heissen / weist du Tölpel nicht daß du zu mir sagen must: Allmächtiger vnnd gestrenger Herr Hopffman / Ehrwürdiger vnd Wolladelicher Juncker Hans / den Hut vom Koppe du grober Cujon.,0,324,character_speech,1,2,,HANS.,HANS.,7.0,UNKNOWN,anger,negative,emotions of rejection
37,37,TextGrid/-Perseus.xml, Wo nu thom störten Knüfel / kan ickt rüken dat gy ein Juncker syd / wat wüste ickt dattem dy gy heten muste / ick hae nicht dacht / dat de Junckers mit der Bunge alse de Stratenbengels herümme lopen.,0,200,character_speech,1,2,,LABAN.,LABAN.,8.0,UNKNOWN,anger,negative,emotions of rejection
38,38,TextGrid/-Perseus.xml, Du grober Klotz / hörst du nicht daß ich ein Caffthein bin / vnd daß ich Soldaten annehme / vnd so muß ich ja so tromlen.,0,122,character_speech,1,2,,HANS.,HANS.,9.0,UNKNOWN,anger,negative,emotions of rejection
39,39,TextGrid/-Perseus.xml, Ja / ja / sy gy van den Skrubbers een / ja dat lumyen Pack kenne ick woll / de synd hier woll ehr im Laine wesen / nu hafftse yo de Düfel inß weer weg geführet / man wehrense nicht van sick süluest weggetagen / wy wollenser auer Halß vnde Kop henut spenckert hebben.,0,267,character_speech,1,2,,LABAN.,LABAN.,10.0,UNKNOWN,anger,negative,emotions of rejection
40,40,TextGrid/-Perseus.xml, Ey warumb daß mein Kerll / was haben dir doch die redliche Soldaten zu leide gethan?,0,85,character_speech,1,2,,HANS.,HANS.,11.0,UNKNOWN,compassion,negative,emotions of suffering and empathy
41,41,TextGrid/-Perseus.xml, Wat?,0,5,character_speech,1,2,,LABAN.,LABAN.,12.0,UNKNOWN,no_annotation,no_annotation,no_annotation
42,42,TextGrid/-Perseus.xml,leide gethan?,6,19,character_speech,1,2,,LABAN.,LABAN.,12.0,UNKNOWN,suffering,negative,emotions of suffering and empathy
43,43,TextGrid/-Perseus.xml,"Wunnen süke / hebsk de Defe nicht brüet / so weht ick nicht wat brüent ys / se denckter in usem Karspel alle ehr dage woll an; Vse Nabers / de eene hader ein süluern Garfe van im Huse / de anner ein Lütlandt / de drüdde ein Carnettert / de verde einen Feldttwifeler / vnde de heten se yo althomahl Böuersten / de anieren de hadden man so schlichte Muscowiters vnd Pekelnerers; Myn Vaer hader ock yo ein Haluncken van im Huse / dat was löuick ein Hoppenföhrer / all du störten süke / wat jagede de Skabbehalß mit synen Horen vnde Gesinneken ein hupen junge Höner / Eyer / Dufen / Kalfesköppe / Lammerfötte / vnde anier nühtlick Fretent intem Marse / dat was man alle dünniglike Dage: Horch Bauwr / schaffe auff / latz halen / Wein / Sucker / Brazen / Conflex, vnde wat men erdencken kunne / man hadick nu der Galgen ins weer vp vser Missen / kwull een so tracteren / ehm skullen de Lenien nah schlepen.",20,921,character_speech,1,2,,LABAN.,LABAN.,12.0,UNKNOWN,no_annotation,no_annotation,no_annotation
44,44,TextGrid/-Perseus.xml, Wie war daß mein Kerl / daß jhr jhm solche stattliche Tractamenta verschaffen mustet?,0,86,character_speech,1,2,,HANS.,HANS.,13.0,UNKNOWN,being moved,being moved,being moved
45,45,TextGrid/-Perseus.xml,Hatte er etwa ein Officium?,87,114,character_speech,1,2,,HANS.,HANS.,13.0,UNKNOWN,no_annotation,no_annotation,no_annotation
46,46,TextGrid/-Perseus.xml, Fitium?,0,8,character_speech,1,2,,LABAN.,LABAN.,14.0,UNKNOWN,being moved,being moved,being moved
47,47,TextGrid/-Perseus.xml,Datten vorstak nicht / wat ys dat?,9,43,character_speech,1,2,,LABAN.,LABAN.,14.0,UNKNOWN,no_annotation,no_annotation,no_annotation
48,48,TextGrid/-Perseus.xml, Ey was du Narr / ich frage ob er nur sey ein schlechter Soldat gewesen / oder etwa ein Befelchshaber / gemeine Soldaten pflegt man bey Gott so nicht tractiren.,0,160,character_speech,1,2,,HANS.,HANS.,15.0,UNKNOWN,anger,negative,emotions of rejection
49,49,TextGrid/-Perseus.xml, Ein Huniesfott wasset / yuw nicht tho anteren / wohr wasset ein schlicht Soldat?,0,81,character_speech,1,2,,LABAN.,LABAN.,16.0,UNKNOWN,no_annotation,no_annotation,no_annotation
50,50,TextGrid/-Perseus.xml,Gy hören yo woll dattet ein Hoppenföhrer was / hade yo alltydt woll 3.,82,152,character_speech,1,2,,LABAN.,LABAN.,16.0,UNKNOWN,no_annotation,no_annotation,no_annotation
51,51,TextGrid/-Perseus.xml,Knechte / de achter ehm stünien / vnde den Hoedt vör ehm inier handt hadden.,153,229,character_speech,1,2,,LABAN.,LABAN.,16.0,UNKNOWN,no_annotation,no_annotation,no_annotation
52,52,TextGrid/-Perseus.xml, Ey du grober Narr / was Hoppenföhrer?,0,38,character_speech,1,2,,HANS.,HANS.,17.0,UNKNOWN,anger,negative,emotions of rejection
53,53,TextGrid/-Perseus.xml,Du wirst ein Hopffman meinen / oder Cafitzen / wie ich einer bin.,39,104,character_speech,1,2,,HANS.,HANS.,17.0,UNKNOWN,no_annotation,no_annotation,no_annotation
54,54,TextGrid/-Perseus.xml, Ja / ja / solker ding wasset löuick / man he hade likers so vehl Pliten vppem Liue nicht hangen alse gy dar hebbet.,0,116,character_speech,1,2,,LABAN.,LABAN.,18.0,UNKNOWN,no_annotation,no_annotation,no_annotation
55,55,TextGrid/-Perseus.xml," Daß giebet nichtes zur Sache / die Degen trage ich wegen meiner Courage, denn ich binß gewohnet / daß ich mich gemeiniglich mit 4. oder 5.",0,139,character_speech,1,2,,HANS.,HANS.,19.0,UNKNOWN,no_annotation,no_annotation,no_annotation
56,56,TextGrid/-Perseus.xml,Kerlen zugleich herümmer hawe.,140,170,character_speech,1,2,,HANS.,HANS.,19.0,UNKNOWN,no_annotation,no_annotation,no_annotation
57,57,TextGrid/-Perseus.xml, Wo du bist yo woll de Düfel nicht / wenn icken Meßgreper inner Handt hebbe / so dancke ick den leuen Gae / datick my jegen enen Kerel wehre.,0,141,character_speech,1,2,,LABAN.,LABAN.,20.0,UNKNOWN,joy,positive,emotions of pleasure
58,58,TextGrid/-Perseus.xml, Ja dem sey wie jhm wolle.,0,26,character_speech,1,2,,HANS.,HANS.,21.0,UNKNOWN,no_annotation,no_annotation,no_annotation
59,59,TextGrid/-Perseus.xml,Aber sage mir mein Kerl / hast du nicht etwa lust vnter mir zu dienen.,27,97,character_speech,1,2,,HANS.,HANS.,21.0,UNKNOWN,anger,negative,emotions of rejection
60,60,TextGrid/-Perseus.xml, Wat skollick?,0,14,character_speech,1,2,,LABAN.,LABAN.,22.0,UNKNOWN,no_annotation,no_annotation,no_annotation
61,61,TextGrid/-Perseus.xml,Deenen?,15,22,character_speech,1,2,,LABAN.,LABAN.,22.0,UNKNOWN,no_annotation,no_annotation,no_annotation
62,62,TextGrid/-Perseus.xml,Dat hebbick Gaie sy danck noch alltydt nicht nöig / so lange alß myn Vaier vnde Möme leuen.,23,114,character_speech,1,2,,LABAN.,LABAN.,22.0,UNKNOWN,suffering,negative,emotions of suffering and empathy
63,63,TextGrid/-Perseus.xml, Ey du verstehest mich nicht recht / ich frage ob du nicht etwa lust hast ein Soldat zu werden.,0,95,character_speech,1,2,,HANS.,HANS.,23.0,UNKNOWN,anger,negative,emotions of rejection
64,64,TextGrid/-Perseus.xml, Wat skollick?,0,14,character_speech,1,2,,LABAN.,LABAN.,24.0,UNKNOWN,no_annotation,no_annotation,no_annotation
65,65,TextGrid/-Perseus.xml,Skollick ock ein Skrobber werden / ehr dat vse Möme lede / dar blarede se veel leuer den Halß vör entwey / nee / nee / myn leue Herr Böuerste schwyget dar men stille mede / dattet man nene Lüde höret.,15,215,character_speech,1,2,,LABAN.,LABAN.,24.0,UNKNOWN,no_annotation,no_annotation,no_annotation
66,66,TextGrid/-Perseus.xml, Ey myn Kerl / so must du nicht schwatzen / ich wil dir eine braue Charge vnd alsobaldt 3.,0,90,character_speech,1,2,,HANS.,HANS.,25.0,UNKNOWN,anger,negative,emotions of rejection
67,67,TextGrid/-Perseus.xml,Reichsthaler auff die Handt geben.,91,125,character_speech,1,2,,HANS.,HANS.,25.0,UNKNOWN,no_annotation,no_annotation,no_annotation
68,68,TextGrid/-Perseus.xml,"
                                       bedencket sich ein wenig.",0,65,stage_direction,1,2,speech_part,,,26.0,UNKNOWN,no_annotation,no_annotation,no_annotation
69,69,TextGrid/-Perseus.xml, Twehr by Gae woll ein fyn Gelleken / man ick weth woll tiß likers so nicht / darna hefftmer nichtes van / alse hunger vnd Kummer / Lüse vnde Schläge / Frost vnde Dorst.,0,169,character_speech,1,2,,LABAN,LABAN,26.0,UNKNOWN,suffering,negative,emotions of suffering and empathy
70,70,TextGrid/-Perseus.xml, Ey mein Kerl / da darffstu nicht vor sorgen / du solt kein schlechter Mußquetirer seyn / ich will dir alsobaldt eines Gefreiten Corporals Platz geben / dazu solt du nicht gegen dem Feinde zu Felde / besonderen daß gantze Jahr durch / bey einem reichen Bawren im Quartier liegen / dich mesten wie eine Sauw / fressen / sauffen / huren / buben / doppelen / spielen.,0,364,character_speech,1,2,,HANS.,HANS.,27.0,UNKNOWN,anger,negative,emotions of rejection
71,71,TextGrid/-Perseus.xml, Wummen süke / wennick dat löuelt dorste / ick wagede by dem Elemente ein tögeken mede.,0,87,character_speech,1,2,,LABAN.,LABAN.,28.0,UNKNOWN,no_annotation,no_annotation,no_annotation
72,72,TextGrid/-Perseus.xml, Trawe du nur meinen Adelichen Worten / ich wil dir halten was ich zugesaget habe / so wahr ich ein redlicher Cavallier bin.,0,124,character_speech,1,2,,HANS.,HANS.,29.0,UNKNOWN,"admiration, reverence",positive,emotions of affection
73,73,TextGrid/-Perseus.xml, Nu / nu / skall dat wisse syn / so binket tho freden / hey wo willick nu de Buren brüden / up skölt se schaffen / all / wat se man inner Katen hebbet.,0,151,character_speech,1,2,,LABAN.,LABAN.,30.0,UNKNOWN,joy,positive,emotions of pleasure
74,74,TextGrid/-Perseus.xml, Daß ist recht Corpral / solche Soldaten mag ich gerne leiden / sich da hast du 3.,0,82,character_speech,1,2,,HANS.,HANS.,31.0,UNKNOWN,"admiration, reverence",positive,emotions of affection
75,75,TextGrid/-Perseus.xml,"Reichsthaler auff die Handt / aber dieses must du wol in acht nehmen / daß du dich hinfort nicht mehr so grob vnd Bäwrisch haltest / in Gebehrden / Kleidung / Reden / alse du bißher gethan: Du must nun nicht mehr so schlecht sagen: Jch wil tho Huß gahn: Nein / ich wil nach meinem Quartier marchiren heist es / dabenebenst 
must du auch braaff fluchen lernen / denn daß steht fein.",83,464,character_speech,1,2,,HANS.,HANS.,31.0,UNKNOWN,anger,negative,emotions of rejection
76,76,TextGrid/-Perseus.xml,Soldatisch / wenn man wacker mit Teuffelen vnd Elementen ümb sich wirfft.,465,538,character_speech,1,2,,HANS.,HANS.,31.0,UNKNOWN,no_annotation,no_annotation,no_annotation
