,Unnamed: 0,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class
0,0,TextGrid/-Schuldige_Unschuld_oder_Maria_Stuarda.xml,"
                                 Der Schau-Platz stehet gantz leer / über selbigen öffnet sich der Himmel / aus welchem die Ewigkeit herunter kömmt / und auff dem Schau-Platz stehen bleibt.",0,190,stage_direction,1,0,pre_speech,,,,,no_annotation,no_annotation,no_annotation
1,1,TextGrid/-Schuldige_Unschuld_oder_Maria_Stuarda.xml,"
                                 Elisabeth auff dem Throne / Bacon der Englische Cantzler / Patritius Gray der Schottische Abgesandte / Hattan, Burghley, Beal, Walsingham, Leycester, Warwik, und die andern Englischen Königlichen Räthe stehend umb sie her.",0,256,stage_direction,1,0,pre_speech,,,,,no_annotation,no_annotation,no_annotation
2,2,TextGrid/-Schuldige_Unschuld_oder_Maria_Stuarda.xml,"
                                    Wir / die uns durch uns der Sterbligkeit entrissen /
                                    Wir / die die grosse Welt auch todt wird rühmen müssen /
                                    Wir / die wir dargethan durch unser Tugend Schein /
                                          
                                          
                                          2
                                       
                                    
                                    Daß auch ein leichtes Weib kan Cronen wichtig seyn /
                                    Wir / die wir wunderns werth / auch dieses übertroffen /
                                    Was man von einer Frau kan ungewöhnlich hoffen /
                                    Wir / die wir unsern Thron vor andern hoch erhöht /
                                    Wir / der der Amphitrit stets zu Gebothe steht /
                                    Wir / sag ich / die wir nun von so viel langen Jahren
                                    In unserm Reiche nichts als Fried und Ruh erfahren /
                                    Sind durch ein eintzig Weib / durch ein gefangen Weib
                                    Nunmehr so weit gebracht / daß wir vor unsern Leib
                                    Fast selbsten furchtsam seyn / weil wir auch keine Stunde /
                                    Ja keinen Augenblick / vor der Verräther Bunde
                                    
                                       
Und finstern Meuchellist recht frey und sicher seyn /
                                    Welch Eris nimmt uns doch mit solchem Schrecken ein!",0,1672,character_speech,1,0,,ELISABETH.,ELISABETH.,1.0,UNKNOWN,no_annotation,no_annotation,no_annotation
3,3,TextGrid/-Schuldige_Unschuld_oder_Maria_Stuarda.xml,Was nützt der Scepter mir?,1709,1735,character_speech,1,0,,ELISABETH.,ELISABETH.,1.0,UNKNOWN,no_annotation,no_annotation,no_annotation
4,4,TextGrid/-Schuldige_Unschuld_oder_Maria_Stuarda.xml,"was nutzt mir diese Crone
                                    Wann ich in lauter Furcht und lauter Hoffnung wohne /
                                    Wann ich mich für und für deß Lebens mit Verdruß
                                    Vor dem verdeckten Stahl und Gifft befürchten muß.",1736,2023,character_speech,1,0,,ELISABETH.,ELISABETH.,1.0,UNKNOWN,fear,negative,emotions of anxiety
5,5,TextGrid/-Schuldige_Unschuld_oder_Maria_Stuarda.xml,"Entblöst den schärfssten Dolch / gebt klaren Gifft zusauffen /
                                          
                                          
                                          3
                                       
                                    
                                    Ich lieg entweder ob / entweder kan entlauffen;
                                    Nur ein verborgen Schwerdt und ein vermischter Gifft
                                    Ist / so man nirgend kennt / so unvermeidlich trifft.",2060,2592,character_speech,1,0,,ELISABETH.,ELISABETH.,1.0,UNKNOWN,no_annotation,no_annotation,no_annotation
6,6,TextGrid/-Schuldige_Unschuld_oder_Maria_Stuarda.xml,Ach was ist alles Thun!,2629,2652,character_speech,1,0,,ELISABETH.,ELISABETH.,1.0,UNKNOWN,suffering,negative,emotions of suffering and empathy
7,7,TextGrid/-Schuldige_Unschuld_oder_Maria_Stuarda.xml,"ach was sind alle Sachen /
                                    Die Fürsten hier berühmt / die Fürsten herrlich machen /
                                    Was is doch ihre Lust als eine leere Pracht;
                                    Man gibt auff ihren Glantz / nicht auff die Bürden acht /
                                    Man sieht auff ihr Gesicht / nicht auff verdeckte Schmertzen /
                                    Nicht auff die rauhe Qvaal / durch Angst bestürmter Hertzen /
                                    Man preiset unsre Ruh; Wir finden nichts denn Streit
                                    Und Argwohn und Gefahr und den verhassten Neyd.",2653,3317,character_speech,1,0,,ELISABETH.,ELISABETH.,1.0,UNKNOWN,suffering,negative,emotions of suffering and empathy
8,8,TextGrid/-Schuldige_Unschuld_oder_Maria_Stuarda.xml,"
                                    Durchlauchtigste Princess!",0,63,character_speech,1,0,,BACON.,BACON.,2.0,UNKNOWN,"admiration, reverence",positive,emotions of affection
9,9,TextGrid/-Schuldige_Unschuld_oder_Maria_Stuarda.xml,"wofern ein Knecht darff wagen /
                                    Rath bey so schwerer Sach der Fürstin vorzutragen /
                                    So sieht es / bitt ich frey / was uns Ihr werthes Heyl
                                    Und aller Wohlfahrt heist.",64,337,character_speech,1,0,,BACON.,BACON.,2.0,UNKNOWN,no_annotation,no_annotation,no_annotation
10,10,TextGrid/-Schuldige_Unschuld_oder_Maria_Stuarda.xml,"Uns ist das Leben feil
                                    Vor Englands Haupt und Reich / uns die es aufferzogen /
                                    Uns die wir die Gefahr schon längsten überwogen.",338,537,character_speech,1,0,,BACON.,BACON.,2.0,UNKNOWN,joy,positive,emotions of pleasure
11,11,TextGrid/-Schuldige_Unschuld_oder_Maria_Stuarda.xml,Und Mittel ausgedacht.,574,596,character_speech,1,0,,BACON.,BACON.,2.0,UNKNOWN,no_annotation,no_annotation,no_annotation
12,12,TextGrid/-Schuldige_Unschuld_oder_Maria_Stuarda.xml,"
                                    Wir kennen eure Treu /
                                    Erklährt uns / was euch dünck't ohn' alle Furcht und Scheu",0,154,character_speech,1,0,,ELISABETH.,ELISABETH.,3.0,UNKNOWN,fear,negative,emotions of anxiety
