,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
183,GerDracor/andre-der-comoedienfeind.xml,14186,14194,Richtig!,negative,emotions of rejection,anger
184,GerDracor/andre-der-comoedienfeind.xml,14195,14264,Von Zeitungsangelegenheiten; von Stadtneuigkeiten; von Haushistorien.,emotional movement,emotional movement,emotional movement
185,GerDracor/andre-der-comoedienfeind.xml,14265,14269,Gut.,positive,emotions of joy,joy
186,GerDracor/andre-der-comoedienfeind.xml,14270,14343,Was dieser oder jener vor Fehler hat; welche Fehler er noch haben könnte.,negative,emotions of rejection,anger
187,GerDracor/andre-der-comoedienfeind.xml,14344,14436,"Was der oder
            die gesprochen und nicht gesprochen – Ist das nicht all wohlgethan?",negative,emotions of rejection,joy
188,GerDracor/andre-der-comoedienfeind.xml,14437,14469,Meiner Meynung nach sehr selten.,positive,emotions of joy,joy
189,GerDracor/andre-der-comoedienfeind.xml,14470,14472,O!,emotional movement,emotions of suffering,emotional movement
190,GerDracor/andre-der-comoedienfeind.xml,14473,14518,Ihre Meynung ist die Meynung aller Fantasten!,negative,emotions of rejection,admiration
191,GerDracor/andre-der-comoedienfeind.xml,14519,14618,"Auch gehört das nicht zum Zeitstehlen,
               (Er setzt seine Brille wieder auf und liest.)",emotional movement,emotional movement,anger
192,GerDracor/andre-der-comoedienfeind.xml,14619,14741,"» Wir können unsern Ueberfluß nicht besser anwenden, als daß wir dadurch dem Dürftigen
            sein Elend erleichtern.",negative,emotions of suffering,compassion
193,GerDracor/andre-der-comoedienfeind.xml,14742,14870,"Und wenn wir keinen Ueberfluß haben: so müssen wir von unserer
            Nothdurft so viel dazu abbrechen als uns möglich ist.",negative,emotions of suffering,suffering
194,GerDracor/andre-der-comoedienfeind.xml,14871,15153,"Doch wenn uns die Comödie noch
            Mittel genug übrig läßt den Pflichten gegen unsern nothleidenden Nächsten ein Genüge zu
            leisten: wem stehlen wir alsdann etwas, wenn wir uns, für unser eigenes Geld, ein
            unschuldiges und nützliches Vergnügen machen?",positive,emotions of joy,Schadenfreude
195,GerDracor/andre-der-comoedienfeind.xml,15154,15208,Wieder nennen Sie die Comödie nützlich und unschuldig?,emotional movement,emotions of joy,emotional movement
196,GerDracor/andre-der-comoedienfeind.xml,15209,15511,"Lassen sie michs so lange glauben, bis Sie mich des Gegentheils überzeugt haben; so wie
            ich Ihnen auch keinen Verweis darüber gebe, wenn Sie mit den schändlichsten Schmähungen
            wider die Comödie ausbrechen, so lang Sie sich nicht eines bessern belehren lassen
            wollen.",negative,emotions of rejection,anger
197,GerDracor/andre-der-comoedienfeind.xml,15512,15606,"Wegen des Herrn Pfarrers Neujahrsgeschenken, hab ich nichts mit Ihnen
            auszumachen.",negative,emotions of rejection,anger
198,GerDracor/andre-der-comoedienfeind.xml,15607,15760,"Ein jeder vernünftiger Mensch weiß, daß alle Geschenke freywillige Gaben
            sind, und daß also niemand mit Recht Anforderung darauf machen kann.",negative,emotions of rejection,admiration
199,GerDracor/andre-der-comoedienfeind.xml,15761,15777,Sind sie fertig?,negative,emotions of fear,emotional movement
200,GerDracor/andre-der-comoedienfeind.xml,15778,15797,» Bleiben Sie doch.,negative,emotional movement,emotional movement
201,GerDracor/andre-der-comoedienfeind.xml,15798,15841,Ich werde die Treppe nicht hinunter laufen.,negative,emotions of fear,anger
202,GerDracor/andre-der-comoedienfeind.xml,15843,15906,"(Er geht an die Thüre und ruft
              laut:) (Für sich.)",negative,emotional movement,emotional movement
203,GerDracor/andre-der-comoedienfeind.xml,15907,15920,Armer Mündel!,negative,emotions of suffering,compassion
204,GerDracor/andre-der-comoedienfeind.xml,15921,15952,(Ruft noch lauter:) Herr Damon!,emotional movement,emotional movement,emotional movement
205,GerDracor/andre-der-comoedienfeind.xml,15954,16120,"(und endlich ruft er so laut als er kann:) (Er wartet noch einen Augenblick, und indem er zurückkommt, spricht
              er:) » Das werden Sie doch nicht glauben?",negative,emotional movement,emotional movement
