,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
3460,GerDracor/tieck-prinz-zerbino.xml,273835,273981,"Es sei Ihm zugestanden; ja, Er soll mir alle Schulen im ganzen Lande reformieren und
              alleroberster privilegierter Schulmeister sein.",positive,emotions of affection,admiration
3461,GerDracor/tieck-prinz-zerbino.xml,273982,274034,Geht auch die königliche Güte nicht vielleicht weit?,negative,emotional movement,admiration
3462,GerDracor/tieck-prinz-zerbino.xml,274035,274409,"– Dieser Mann hat etwas in
              seiner Physiognomie – Ich verstehe Euch, Minister, Ihr habt Euch bisher so ein bißchen mit der Aufklärung
              in meinem Lande abgegeben, nur es soll Euer Schade nicht sein, nur laßt den
              Handwerksneid, laßt doch den Mann in Ruhe klären und schulmeistern, es ist Euch
              erlaubt, sein Patron zu sein.",negative,emotions of rejection,anger
3463,GerDracor/tieck-prinz-zerbino.xml,274410,274464,"Ganz gut, wenn Sie mich auch in Kupfer stechen wollen.",positive,emotions of joy,admiration
3464,GerDracor/tieck-prinz-zerbino.xml,274465,274475,Punktiert?,emotional movement,emotions of suffering,emotional movement
3465,GerDracor/tieck-prinz-zerbino.xml,274476,274508,"So, wie ich bin, nach der Natur.",negative,emotions of affection,love
3466,GerDracor/tieck-prinz-zerbino.xml,274509,274571,Ihre Exzellenz soll in aller Ihrer Würde repräsentiert werden.,positive,emotions of affection,admiration
3467,GerDracor/tieck-prinz-zerbino.xml,274572,274654,"Nun ist es gut, Er soll seine Bestallung haben; jetzt bin ich müde, mehr zu reden.",positive,emotions of rejection,anger
3468,GerDracor/tieck-prinz-zerbino.xml,274672,274692,Geht mit Gefolge ab.,negative,emotions of rejection,fear
3469,GerDracor/tieck-prinz-zerbino.xml,274693,274714,– Jeremias tritt ein.,negative,emotional movement,emotional movement
3470,GerDracor/tieck-prinz-zerbino.xml,274715,274760,"O wieviel, wieviel Dank bin ich dir schuldig!",positive,emotions of affection,joy
3471,GerDracor/tieck-prinz-zerbino.xml,274761,274826,"Alles ist so gekommen, wie du es
              vorhergesehn hast.",positive,emotions of joy,joy
3472,GerDracor/tieck-prinz-zerbino.xml,274827,274878,Also sind alle deine Wünsche in Erfüllung gegangen?,positive,emotions of joy,joy
3473,GerDracor/tieck-prinz-zerbino.xml,274879,275031,"Vollkommen, ich werde die Schulen durchaus reformieren, ich werde eine Wochenschrift
              herausgeben, alles, alles; der Kater ist mein Patron.",negative,emotions of affection,joy
3474,GerDracor/tieck-prinz-zerbino.xml,275032,275109,"Gut, jetzt mußt du vor allen Dingen die Kunst lernen, Programme zu schreiben.",negative,emotions of rejection,anger
3475,GerDracor/tieck-prinz-zerbino.xml,275110,275125,Ist das schwer?,emotional movement,emotional movement,emotional movement
3476,GerDracor/tieck-prinz-zerbino.xml,275126,275185,"Ich will dir die ersten machen, damit du es einsehn lernst.",positive,emotions of joy,anger
3477,GerDracor/tieck-prinz-zerbino.xml,275186,275361,"Zweitens mußt du dich in
              acht nehmen, daß du nicht in die Torheit fällst und selbst an die Narrheiten glaubst,
              die wir miteinander abgeredet haben.",negative,emotions of rejection,anger
3478,GerDracor/tieck-prinz-zerbino.xml,275362,275393,Müßt' ich nicht ein Block sein?,negative,emotions of rejection,anger
3479,GerDracor/tieck-prinz-zerbino.xml,275394,275494,"Dann mußt du durchaus in deiner Schrift die Veranlassung suchen, dir Feinde zu
              machen.",negative,emotions of rejection,anger
3480,GerDracor/tieck-prinz-zerbino.xml,275495,275522,Das würde mir aber schaden.,negative,emotions of rejection,fear
3481,GerDracor/tieck-prinz-zerbino.xml,275523,275571,"Gar nicht, wenn du das Ding nur recht angreifst.",negative,emotions of rejection,anger
3482,GerDracor/tieck-prinz-zerbino.xml,275572,275715,"Am besten, wir erfinden eine ganze
              Sekte, eine große Gesellschaft  Wie komm' ich mir, gegen dich gerechnet, nur wie ein Hund vor.",negative,emotions of rejection,"hate, disgust"
3483,GerDracor/tieck-prinz-zerbino.xml,275716,275784,"Davon laß dir nur nichts merken, denn die Zeiten sind jetzt vorüber.",negative,emotions of rejection,anger
3484,GerDracor/tieck-prinz-zerbino.xml,275785,275889,"Gibt es einen
              oder den ändern Klugen, der es dir anmerken möchte, so geh ihm aus dem Wege.",negative,emotions of rejection,anger
3485,GerDracor/tieck-prinz-zerbino.xml,275890,275938,Der verwünschte Kater war mir fast auf der Spur.,negative,emotions of rejection,"hate, disgust"
3486,GerDracor/tieck-prinz-zerbino.xml,275939,275988,"Bei ihm war es nur Instinkt, aber nicht Verstand.",negative,emotional movement,"hate, disgust"
