,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
818,GerDracor/neuber-das-schaeferfest.xml,45521,45574,"Du gehst auch hin zu ihm, ich hab' noch was zu lesen.",negative,emotions of rejection,joy
819,GerDracor/neuber-das-schaeferfest.xml,45575,45625,Und bin schon heute früh nach Kräutern ausgewesen.,negative,emotions of joy,Schadenfreude
820,GerDracor/neuber-das-schaeferfest.xml,45626,45726,"Red ihr nur wacker zu ... Ich wollt', er nähme sie; So käm' ich von ihr los und brauchte keine Müh'.",negative,emotions of rejection,love
821,GerDracor/neuber-das-schaeferfest.xml,45727,45752,Ich will mein Bestes tun.,positive,emotions of affection,fear
822,GerDracor/neuber-das-schaeferfest.xml,45753,45777,"Ach, wann es Doris wäre.",negative,emotions of suffering,suffering
823,GerDracor/neuber-das-schaeferfest.xml,45778,45829,"Vergib mir, daß ich dich mit dieser Last beschwere.",negative,emotions of suffering,suffering
824,GerDracor/neuber-das-schaeferfest.xml,45830,45866,Leb wohl ... Ach du ... zur Galathe.,negative,emotions of suffering,suffering
825,GerDracor/neuber-das-schaeferfest.xml,45867,45877,Bleibe da.,negative,emotions of suffering,joy
826,GerDracor/neuber-das-schaeferfest.xml,45878,45887,Gehet ab.,negative,emotions of rejection,despair
827,GerDracor/neuber-das-schaeferfest.xml,45888,45909,Galathe und Mirtillo.,emotional movement,emotional movement,emotional movement
828,GerDracor/neuber-das-schaeferfest.xml,45910,45933,Mirtillo sieht mich an.,emotional movement,emotional movement,emotional movement
829,GerDracor/neuber-das-schaeferfest.xml,45934,46090,"Ich weiß nicht, hab' ich klug, schlecht oder recht getan, Daß ich mich dreingemengt, jedoch ich will es wagen Und bei Gelegenheit mit nach der Doris fragen.",negative,emotional movement,fear
830,GerDracor/neuber-das-schaeferfest.xml,46091,46144,Du redest ja für dich ... Das pflegt oft zu geschehn.,negative,emotions of rejection,anger
831,GerDracor/neuber-das-schaeferfest.xml,46145,46191,"Komm mit, wir wollen hier etwas spazierengehn.",positive,emotions of joy,joy
832,GerDracor/neuber-das-schaeferfest.xml,46192,46295,"Mir ist nicht gar zu wohl ... Ich habe Seitenstechen, Deswegen kann ich auch jetzund so wenig sprechen.",positive,emotions of suffering,suffering
833,GerDracor/neuber-das-schaeferfest.xml,46296,46319,Dein Vater war erzürnt.,negative,emotions of rejection,anger
834,GerDracor/neuber-das-schaeferfest.xml,46320,46324,Ach!,negative,emotions of suffering,suffering
835,GerDracor/neuber-das-schaeferfest.xml,46325,46346,dieser zürnet leicht.,negative,emotions of rejection,anger
836,GerDracor/neuber-das-schaeferfest.xml,46347,46400,"Bei ihm ist fast kein Tag, der ohne Zank verstreicht.",emotional movement,emotions of rejection,anger
837,GerDracor/neuber-das-schaeferfest.xml,46401,46450,Philemon hat die Schuld mit seinen Tugendgrillen.,negative,emotions of rejection,anger
838,GerDracor/neuber-das-schaeferfest.xml,46451,46473,Du bist doch angenehm!,positive,emotions of joy,joy
839,GerDracor/neuber-das-schaeferfest.xml,46474,46501,Mach es nach seinem Willen.,positive,emotions of affection,anger
840,GerDracor/neuber-das-schaeferfest.xml,46502,46523,Ich bin dir angenehm?,positive,emotions of joy,joy
841,GerDracor/neuber-das-schaeferfest.xml,46524,46555,Das Wort klingt schön für mich.,positive,emotions of joy,joy
842,GerDracor/neuber-das-schaeferfest.xml,46556,46583,"Weißt du, was drauf gehört?",negative,emotions of rejection,anger
843,GerDracor/neuber-das-schaeferfest.xml,46584,46612,Mein Schatz: Ich liebe dich.,positive,emotions of affection,love
844,GerDracor/neuber-das-schaeferfest.xml,46613,46636,Ist Doris dann zu Haus?,emotional movement,emotional movement,emotional movement
845,GerDracor/neuber-das-schaeferfest.xml,46637,46721,Das kann ich jetzt nicht wissen; Die hat sich heute schon vor Arbeit fast zerrissen.,negative,emotions of suffering,emotional movement
846,GerDracor/neuber-das-schaeferfest.xml,46722,46748,Ich bin ihr herzlich gram.,negative,emotions of suffering,compassion
847,GerDracor/neuber-das-schaeferfest.xml,46749,46776,Was willst du dann von ihr?,emotional movement,emotional movement,emotional movement
848,GerDracor/neuber-das-schaeferfest.xml,46777,46826,"Ich sah sie jüngst einmal, und da gefiel sie mir.",positive,emotions of affection,love
849,GerDracor/neuber-das-schaeferfest.xml,46827,46929,"Ich dachte, deine Brust wär' gänzlich frei vom Lieben, Dich hätte nur der Haß in unsre Flur getrieben.",negative,emotions of rejection,love
850,GerDracor/neuber-das-schaeferfest.xml,46930,46957,Du hast ganz recht gedacht.,positive,emotions of joy,joy
851,GerDracor/neuber-das-schaeferfest.xml,46958,47031,"Der Haß trieb mich hieher, Damit die Liebe hier mein Hauptvergnügen wär'.",negative,emotions of rejection,"hate, disgust"
852,GerDracor/neuber-das-schaeferfest.xml,47032,47214,"Hör: Wann du lieben kannst, so lieb die Doris nicht, Sie hat ein falsches Herz und ein verbrannt Gesicht,  Wann ich ein Schäfer wär' und dieses an ihr fände, Ich ließ sie gerne gehn.",negative,emotions of affection,love
853,GerDracor/neuber-das-schaeferfest.xml,47215,47291,"Und bin ich gleich nicht schön, So kann ich zehnmal doch die Doris übergehn.",positive,emotions of joy,admiration
854,GerDracor/neuber-das-schaeferfest.xml,47292,47295,Ei!,emotional movement,emotional movement,emotional movement
855,GerDracor/neuber-das-schaeferfest.xml,47296,47316,Du bist schön genug.,positive,emotions of affection,love
856,GerDracor/neuber-das-schaeferfest.xml,47317,47333,Gefall' ich dir?,positive,emotional movement,anger
857,GerDracor/neuber-das-schaeferfest.xml,47334,47345,Von Herzen.,positive,emotions of affection,love
858,GerDracor/neuber-das-schaeferfest.xml,47346,47371,Und du gefällst mir auch.,positive,emotions of affection,love
859,GerDracor/neuber-das-schaeferfest.xml,47372,47398,Beliebe nicht zu scherzen.,negative,emotions of rejection,anger
860,GerDracor/neuber-das-schaeferfest.xml,47399,47476,Es ist mein rechter Ernst; bleib heute nur gleich da Und sprich den Vater an.,negative,emotions of fear,emotional movement
861,GerDracor/neuber-das-schaeferfest.xml,47477,47498,Ich gebe dir mein Ja.,positive,emotions of affection,love
862,GerDracor/neuber-das-schaeferfest.xml,47499,47554,"Der Vater wird dabei, wann er nicht will, schon müssen.",negative,emotions of rejection,anger
863,GerDracor/neuber-das-schaeferfest.xml,47555,47586,Ich will recht freundlich sein.,positive,emotions of affection,friendship
864,GerDracor/neuber-das-schaeferfest.xml,47587,47590,Ei!,emotional movement,emotional movement,emotional movement
865,GerDracor/neuber-das-schaeferfest.xml,47591,47619,das ist leicht zu schließen.,positive,emotions of joy,joy
866,GerDracor/neuber-das-schaeferfest.xml,47620,47647,"Mops, Mirtillo und Galathe.",positive,emotions of rejection,Schadenfreude
867,GerDracor/neuber-das-schaeferfest.xml,47648,47750,"Herr, kommt: Die Doris geht auf ihres Vaters Feld; Ich hab' nach diesem Fang viel Stunden aufgestellt.",positive,emotions of rejection,joy
868,GerDracor/neuber-das-schaeferfest.xml,47751,47778,Das ist ein Glück für mich.,positive,emotions of joy,joy
869,GerDracor/neuber-das-schaeferfest.xml,47779,47806,Nun krieg' ich neues Leben.,positive,emotions of joy,joy
870,GerDracor/neuber-das-schaeferfest.xml,47807,47826,Lauft geschwind ab.,emotional movement,emotions of fear,anger
871,GerDracor/neuber-das-schaeferfest.xml,47827,47877,Und ich bin abgelöst und darf nicht Achtung geben.,negative,emotions of rejection,suffering
872,GerDracor/neuber-das-schaeferfest.xml,47878,47926,Weswegen geht Mirtill so schleunig von mir fort?,negative,emotional movement,emotional movement
873,GerDracor/neuber-das-schaeferfest.xml,47927,47954,Das ist erschrecklich grob.,negative,emotions of rejection,anger
874,GerDracor/neuber-das-schaeferfest.xml,47955,48035,"Er saget mir kein Wort; Der Schimpf ist gar zu groß, das soll ihn schon gereuen.",negative,emotions of rejection,anger
875,GerDracor/neuber-das-schaeferfest.xml,48036,48051,Lauft ihm nach.,negative,emotions of fear,anger
876,GerDracor/neuber-das-schaeferfest.xml,48052,48105,"Ich muß nach Wasser gehn, dann die will Feuer speien.",negative,emotions of rejection,"hate, disgust"
877,GerDracor/neuber-das-schaeferfest.xml,48106,48125,Damon und Philemon.,emotional movement,emotional movement,emotional movement
