,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
849,GerDracor/gellert-die-betschwester.xml,64245,64300,"Und warum schützen
              Sie Ihre Umstände vor?",negative,emotional movement,emotional movement
850,GerDracor/gellert-die-betschwester.xml,64301,64383,"Besitzen Sie nicht ein Kapital, das ich Ihnen vorhin geschenkt
              habe?",emotional movement,emotions of affection,joy
851,GerDracor/gellert-die-betschwester.xml,64384,64418,"Soll ich hoffen, liebstes Lorchen?",positive,emotions of affection,love
852,GerDracor/gellert-die-betschwester.xml,64419,64422,Ja!,positive,emotions of joy,anger
853,GerDracor/gellert-die-betschwester.xml,64423,64575,"Ich überlasse Ihnen mein Herz und bitte um das Ihrige; aber bei allem meinem
              Glücke mache ich meine beste Freundin vielleicht unglücklich.",negative,emotions of suffering,suffering
854,GerDracor/gellert-die-betschwester.xml,64576,64602,"Nein, nein, gutes Lorchen!",positive,emotions of affection,joy
855,GerDracor/gellert-die-betschwester.xml,64603,64844,"Bringen Sie es nur so weit, daß Herr Ferdinand mich zu
              sich nach Berlin nimmt und daß er mir die Erlaubnis von meiner Mama schafft, Sie dahin
              zu begleiten, damit ich zuweilen um Sie sein und von Ihnen lernen kann.",positive,emotions of affection,joy
856,GerDracor/gellert-die-betschwester.xml,64845,64892,"Das ist eben mein Wunsch, Sie bei mir zu sehen.",positive,emotions of joy,joy
857,GerDracor/gellert-die-betschwester.xml,64893,65023,"Ach, wenn doch Ihre Mama in ihrem
              Leben wenigstens  Ich will es durch meine Freunde in Berlin gewiß so weit bringen.",negative,emotions of joy,love
858,GerDracor/gellert-die-betschwester.xml,65024,65041,zu Christianchen.,positive,emotional movement,love
859,GerDracor/gellert-die-betschwester.xml,65042,65158,"Ich verspreche Ihnen, daß ich nicht eher ruhe, bis Sie Ihren Aufenthalt bei mir und
              meiner Frau haben.",positive,emotions of affection,friendship
860,GerDracor/gellert-die-betschwester.xml,65159,65265,"Es soll alles zu Ihren Diensten sein, und ich will mit Ihnen als
              mit meiner Tochter umgehen.",positive,emotions of affection,friendship
861,GerDracor/gellert-die-betschwester.xml,65266,65288,Nun bin ich glücklich.,positive,emotions of joy,joy
862,GerDracor/gellert-die-betschwester.xml,65289,65339,"Aber, Herr Simon, wenn wollen Sie Lorchen abholen?",positive,emotions of fear,emotional movement
863,GerDracor/gellert-die-betschwester.xml,65340,65351,zu Lorchen.,positive,emotional movement,joy
864,GerDracor/gellert-die-betschwester.xml,65352,65472,"Darf ich bitten, daß Sie mich itzt gleich nach Berlin begleiten: so will ich noch
              einige Tage hier warten.",negative,emotions of suffering,anger
865,GerDracor/gellert-die-betschwester.xml,65473,65476,Ja.,positive,emotions of joy,anger
866,GerDracor/gellert-die-betschwester.xml,65477,65554,"Ich folge Ihnen, wohin Sie wollen, wenn meine Christiane mit mir ziehen darf.",positive,emotions of joy,love
867,GerDracor/gellert-die-betschwester.xml,65555,65592,Ich will gehen und meine Mama bitten.,negative,emotions of fear,fear
868,GerDracor/gellert-die-betschwester.xml,65593,65830,"Ich will indessen mit Herr Ferdinanden in das Porzellangewölbe gehen und »einen
              Aufsatz von gutem Porzellan ausnehmen« und ihn der Mama herschicken, so wird sie das
              Kaffeeschälchen  Zu
                Lorchen.",negative,emotions of joy,joy
869,GerDracor/gellert-die-betschwester.xml,65831,65939,"Ich bin die Ihrige und vollkommen glücklich, wenn ich mir Ihre Liebe zeitlebens
              erhalten kann.",positive,emotions of affection,love
870,GerDracor/gellert-die-betschwester.xml,65940,65989,"Und morgen bin ich schon bereit, Ihnen zu folgen.",positive,emotions of fear,joy
871,GerDracor/gellert-die-betschwester.xml,65990,66103,"Sehen Sie, mein liebes Lorchen, dieses ist die Belohnung für Ihren Verstand und für
              Ihr edles Herz.",positive,emotions of joy,admiration
