,Unnamed: 0,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class
0,0,GerDracor/lessing-miss-sara-sampson.xml,Der Schauplatz ist ein Saal im Gasthofe.,0,40,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation
1,1,GerDracor/lessing-miss-sara-sampson.xml,Sir William Sampson und Waitwell treten in Reisekleidern herein.,0,64,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation
2,2,GerDracor/lessing-miss-sara-sampson.xml,Hier meine Tochter?,0,19,character_speech,1,1,,SIR WILLIAM.,#sir_william,1.0,MALE,no_annotation,no_annotation,no_annotation
3,3,GerDracor/lessing-miss-sara-sampson.xml,Hier in diesem elenden Wirtshause?,20,54,character_speech,1,1,,SIR WILLIAM.,#sir_william,1.0,MALE,suffering,negative,emotions of suffering and empathy
4,4,GerDracor/lessing-miss-sara-sampson.xml,"Ohne Zweifel hat Mellefont mit Fleiß das allerelendeste im ganzen Städtchen zu seinem
              Aufenthalte gewählt.",0,120,character_speech,1,1,,WAITWELL.,#waitwell,2.0,MALE,no_annotation,no_annotation,no_annotation
5,5,GerDracor/lessing-miss-sara-sampson.xml,"Böse Leute suchen immer das Dunkle, weil sie böse Leute sind.",121,182,character_speech,1,1,,WAITWELL.,#waitwell,2.0,MALE,abhorrence,negative,emotions of rejection
6,6,GerDracor/lessing-miss-sara-sampson.xml,"Aber was hilft es ihnen, wenn sie sich auch vor der ganzen Welt verbergen könnten?",197,279,character_speech,1,1,,WAITWELL.,#waitwell,2.0,MALE,fear,negative,emotions of anxiety
7,7,GerDracor/lessing-miss-sara-sampson.xml,"Das
              Gewissen ist doch mehr, als eine ganze uns verklagende Welt.",280,358,character_speech,1,1,,WAITWELL.,#waitwell,2.0,MALE,suffering,negative,emotions of suffering and empathy
8,8,GerDracor/lessing-miss-sara-sampson.xml,"– Ach, Sie weinen schon
              wieder, schon wieder, Sir!",359,423,character_speech,1,1,,WAITWELL.,#waitwell,2.0,MALE,compassion,negative,emotions of suffering and empathy
9,9,GerDracor/lessing-miss-sara-sampson.xml,– Sir!,424,430,character_speech,1,1,,WAITWELL.,#waitwell,2.0,MALE,no_annotation,no_annotation,no_annotation
