,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
0,GerDracor/bueschel-die-neue-messaline.xml,0,22, In the public domain.,negative,emotional movement,emotional movement
1,GerDracor/bueschel-die-neue-messaline.xml,23,46,Nach dem Französischen.,negative,emotions of rejection,emotional movement
2,GerDracor/bueschel-die-neue-messaline.xml,47,78,Castos sequitur mala paupertas.,negative,emotions of affection,"hate, disgust"
3,GerDracor/bueschel-die-neue-messaline.xml,79,111,(Zimmer in Messalinens Pallast.),negative,emotions of suffering,suffering
4,GerDracor/bueschel-die-neue-messaline.xml,112,122,Messaline.,positive,emotions of affection,emotional movement
5,GerDracor/bueschel-die-neue-messaline.xml,123,129,Bella.,positive,emotional movement,emotional movement
6,GerDracor/bueschel-die-neue-messaline.xml,130,234,"Die Nachricht, Prinzeßin, die man Ihnen vom König, Ihrem Vater, gebracht hat, ist
            gegründet.",positive,emotions of joy,joy
7,GerDracor/bueschel-die-neue-messaline.xml,235,403,"Man hat ihn auf einer benachbarten Insel gesehn, und er kömmt nun, nach
            beynahe zehnjähriger Abwesenheit, in diese Stadt zurück, um seine Kinder zu umarmen.",emotional movement,emotions of joy,joy
8,GerDracor/bueschel-die-neue-messaline.xml,404,491,"–
            Allein was soll ich von dem Verdruß denken in den ich Sie versunken sehe?",negative,emotions of suffering,suffering
9,GerDracor/bueschel-die-neue-messaline.xml,492,629,"Immer irren
            Sie unruhig im Pallast umher, hören mich nicht an und schliessen Ihre Augen zu, als ob
            Sie sich  Ach!",emotional movement,emotional movement,emotional movement
10,GerDracor/bueschel-die-neue-messaline.xml,630,703,"wenn ich ausser mir vor Verdruß bin, so hab’ ich gewiß Ursach genug dazu.",negative,emotions of rejection,anger
11,GerDracor/bueschel-die-neue-messaline.xml,704,876,"– Du
            kennst den Prinz Biribinker – dieser Mann, den ich für einen Helden hielt, den ich
            bewunderte, den mein Herz anbetete – ach es ist ein Elender!",negative,emotions of affection,suffering
12,GerDracor/bueschel-die-neue-messaline.xml,877,908,Wodurch hat er Ihnen mißfallen?,negative,emotions of suffering,anger
13,GerDracor/bueschel-die-neue-messaline.xml,909,949,Warum sind Sie so gegen ihn aufgebracht?,negative,emotions of rejection,emotional movement
14,GerDracor/bueschel-die-neue-messaline.xml,950,1334,"Weil – weil – o nur sein Tod kann die Beleidigung abbüssen die er mir anthat – Seit dem
            Tage an dem ich ihn zuerst sah hielt ich mich für unaussprechlich glücklich, dies weißt
            du – Sein ganzes Ansehn, seine starken breiten Schultern, seine lange vielversprechende
            Nase, alles dies nahm mich für ihn ein – o ich hatte ihn nur zu gut ins Auge gefaßt.",positive,emotions of affection,love
15,GerDracor/bueschel-die-neue-messaline.xml,1335,1487,"–
            Er überraschte mich als ich eben auf  Mehr als zu viel Prinzeßin – was für ein ärgerer Schimpf hätte Ihnen widerfahren
            können?",negative,emotions of rejection,anger
16,GerDracor/bueschel-die-neue-messaline.xml,1488,1789,"Allein so unerhört, so schmerzhaft er auch für Sie ist, so lassen Sie darum den
            Muth nicht ganz sinken, lassen Sie aus Scham und Traurigkeit über Biribinkers Schwäche
            das reizende Kleinod nicht ungebraucht liegen das Sie besitzen – fahren Sie fort damit
            zu wuchern.",negative,emotions of suffering,suffering
17,GerDracor/bueschel-die-neue-messaline.xml,1790,1936,"Thäten Sie nicht beßer, wenn Sie, um sich für Ihren Verlust zu entschädigen
            – Ich verstehe dich – von Stund an will ich darauf denken.",negative,emotions of suffering,compassion
