,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
1133,TextGrid/-Der_Tod_des_Empedokles.xml,85851,85954,"Götterernst Sei Geist und Tugend, aber Spiel vor ihnen sei Die lange Zeit der vielgeschäftgen Menschen.",negative,emotions of rejection,suffering
1134,TextGrid/-Der_Tod_des_Empedokles.xml,85955,86028,"Und mehr wie Götter, denn, wie Sterbliche, Scheint euer Freund zu denken.",positive,emotions of rejection,friendship
1135,TextGrid/-Der_Tod_des_Empedokles.xml,86029,86034,Nein!,emotional movement,emotions of rejection,emotional movement
1136,TextGrid/-Der_Tod_des_Empedokles.xml,86035,86096,"Mich wundert nicht, Daß er sich fort zu seinen Göttern sehnt.",negative,emotions of affection,love
1137,TextGrid/-Der_Tod_des_Empedokles.xml,86097,86127,Was gaben ihm die Sterblichen?,emotional movement,emotional movement,emotional movement
1138,TextGrid/-Der_Tod_des_Empedokles.xml,86128,86306,"hat ihm Sein töricht Volk genährt den hohen Sinn, Ihr unbedeutend Leben, hat ihm dies Das Herz verwöhnt Nimm ihn, du gabst ihm alles, gabst Ihn uns, o nimm ihn nur hinweg, Natur!",positive,emotions of affection,suffering
1139,TextGrid/-Der_Tod_des_Empedokles.xml,86354,86444,"Das weiß ich wohl, sie werden groß Und sagen könnens andre nicht, wie sie's Geworden, ach!",positive,emotions of joy,joy
1140,TextGrid/-Der_Tod_des_Empedokles.xml,86445,86499,"und so entschwinden sie, Die Glücklichen, auch wieder!",negative,emotions of joy,joy
1141,TextGrid/-Der_Tod_des_Empedokles.xml,86500,86505,Sieh!,positive,emotions of suffering,emotional movement
1142,TextGrid/-Der_Tod_des_Empedokles.xml,86506,86565,"mir dünkt es Doch glücklicher, bei Menschen froh zu weilen.",positive,emotions of joy,joy
1143,TextGrid/-Der_Tod_des_Empedokles.xml,86566,86600,Verzeih es mir der Unbegreifliche.,emotional movement,emotional movement,emotional movement
1144,TextGrid/-Der_Tod_des_Empedokles.xml,86601,86637,Und ist die Welt doch hier so schön.,positive,emotions of joy,joy
1145,TextGrid/-Der_Tod_des_Empedokles.xml,86638,86681,"Ja schön Ist sie, und schöner itzt denn je.",positive,emotions of affection,admiration
1146,TextGrid/-Der_Tod_des_Empedokles.xml,86682,86732,Es darf Nicht unbeschenkt von ihr ein Kühner gehn.,negative,emotions of affection,admiration
1147,TextGrid/-Der_Tod_des_Empedokles.xml,86733,86777,"Sieht er noch auf zu dir, o himmlisch Licht?",positive,emotions of affection,love
1148,TextGrid/-Der_Tod_des_Empedokles.xml,86778,86838,"Und siehest du ihn, den ich nun vielleicht Nicht wiedersehe?",positive,emotions of affection,suffering
1149,TextGrid/-Der_Tod_des_Empedokles.xml,86839,86845,Delia!,emotional movement,emotional movement,emotional movement
1150,TextGrid/-Der_Tod_des_Empedokles.xml,86846,86983,"so blicken Sich Heldenbrüder inniger ins Aug, Eh sie vom Mahl zur Schlummerstunde scheiden, Und sehn sie nicht des Morgens sich aufs neu?",positive,emotions of affection,love
1151,TextGrid/-Der_Tod_des_Empedokles.xml,86984,86992,O Worte!,negative,emotions of suffering,suffering
1152,TextGrid/-Der_Tod_des_Empedokles.xml,86993,87050,"freilich schaudert mir, wie dir, Das Herz, du gutes Kind!",negative,emotions of fear,fear
1153,TextGrid/-Der_Tod_des_Empedokles.xml,87051,87108,"und gerne möcht Ichs anders, doch ich schäme dessen mich.",negative,emotions of rejection,"hate, disgust"
1154,TextGrid/-Der_Tod_des_Empedokles.xml,87109,87169,"Tut  Wer ist der fremde Jüngling, der herab Vom Berge kömmt!",negative,emotions of rejection,emotional movement
1155,TextGrid/-Der_Tod_des_Empedokles.xml,87170,87180,Pausanias.,positive,emotional movement,emotional movement
1156,TextGrid/-Der_Tod_des_Empedokles.xml,87181,87228,"Ach müssen Wir so uns wiederfinden, Vaterloser?",negative,emotions of suffering,suffering
1157,TextGrid/-Der_Tod_des_Empedokles.xml,87270,87280,Pausanias.,positive,emotional movement,emotional movement
1158,TextGrid/-Der_Tod_des_Empedokles.xml,87281,87289,Panthea.,positive,emotions of rejection,emotional movement
1159,TextGrid/-Der_Tod_des_Empedokles.xml,87290,87296,Delia.,emotional movement,emotional movement,emotional movement
1160,TextGrid/-Der_Tod_des_Empedokles.xml,87297,87317,Ist Empedokles hier?,emotional movement,emotional movement,emotional movement
1161,TextGrid/-Der_Tod_des_Empedokles.xml,87318,87441,"o Panthea, Du ehrest ihn, du kömmst herauf, du kömmst Noch einmal ihn den ernsten Wanderer Auf seinem dunkeln Pfad zu sehn!",positive,emotions of affection,admiration
1162,TextGrid/-Der_Tod_des_Empedokles.xml,87442,87452,Wo ist er?,emotional movement,emotional movement,emotional movement
1163,TextGrid/-Der_Tod_des_Empedokles.xml,87453,87471,Ich weiß es nicht.,emotional movement,emotional movement,emotional movement
1164,TextGrid/-Der_Tod_des_Empedokles.xml,87472,87533,"Er sandte mich hinweg, Und da ich , sah ich ihn nicht wieder.",negative,emotions of rejection,suffering
1165,TextGrid/-Der_Tod_des_Empedokles.xml,87534,87583,"Ich rief ihn im Gebürge, doch ich fand Ihn nicht.",negative,emotions of suffering,suffering
1166,TextGrid/-Der_Tod_des_Empedokles.xml,87584,87599,Er kehrt gewiß.,negative,emotions of fear,joy
1167,TextGrid/-Der_Tod_des_Empedokles.xml,87600,87657,"Versprach Er freundlich doch, bis in die Nacht zu weilen.",positive,emotions of affection,joy
1168,TextGrid/-Der_Tod_des_Empedokles.xml,87658,87671,O käm er nur!,negative,emotions of suffering,joy
1169,TextGrid/-Der_Tod_des_Empedokles.xml,87672,87741,"Die liebste Stunde flieht Geschwinder, denn die Pfeile sind, vorüber.",negative,emotions of suffering,joy
1170,TextGrid/-Der_Tod_des_Empedokles.xml,87742,87778,"Noch  Und du auch wirst es, Panthea!",positive,emotions of rejection,"hate, disgust"
1171,TextGrid/-Der_Tod_des_Empedokles.xml,87779,87868,"und sie, Die edle Fremdlingin, die ihn nur Einmal, Nur, wie ein herrlich Traumbild sieht.",positive,emotions of affection,love
1172,TextGrid/-Der_Tod_des_Empedokles.xml,87869,88031,"Euch schreckt Sein Ende, das vor aller Augen ist, Doch keiner nennen mag; ich glaub es wohl, Doch werdet ihrs vergessen, sehet ihr In seiner Blüte den Lebendigen.",negative,emotions of fear,fear
1173,TextGrid/-Der_Tod_des_Empedokles.xml,88032,88118,Denn wunderbar vor diesem Manne schwindet Was traurig Sterblichen und furchtbar dünkt.,negative,emotions of suffering,admiration
1174,TextGrid/-Der_Tod_des_Empedokles.xml,88119,88158,Und vor dem selgen Aug ist alles licht.,positive,emotions of joy,joy
1175,TextGrid/-Der_Tod_des_Empedokles.xml,88159,88177,Wie liebst du ihn?,positive,emotions of affection,love
1176,TextGrid/-Der_Tod_des_Empedokles.xml,88178,88303,"und dennoch batest du Umsonst, du hast ihn wohl genug gebeten, Den Ernsten, daß er bleib, und länger noch Bei Menschen wohne.",negative,emotions of affection,suffering
1177,TextGrid/-Der_Tod_des_Empedokles.xml,88304,88319,Konnt ich viel?,negative,emotional movement,emotional movement
1178,TextGrid/-Der_Tod_des_Empedokles.xml,88320,88387,"Er greift in meine Seele, wenn er mir Antwortet, was sein Will ist.",positive,emotions of affection,love
1179,TextGrid/-Der_Tod_des_Empedokles.xml,88388,88399,O das ists!,positive,emotions of rejection,joy
1180,TextGrid/-Der_Tod_des_Empedokles.xml,88400,88550,"Daß er nur Freude gibt, wenn er versagt, Und tiefer nur das Herz ihm widerklingt, Und einig ist mit ihm, je mehr auf Seinem Der Nieergründete besteht.",positive,emotions of joy,joy
1181,TextGrid/-Der_Tod_des_Empedokles.xml,88551,88794,"Es ist Nicht eitel Überredung, glaub es mir, Wenn er des Lebens sich bemächtiget, Oft, wenn er stille war in seiner Welt, Der Stolzgenügsame, dann sah ich ihn In dunkler Ahnung, voll und rege war Die Seele mir, doch konnt ich sie nicht fühlen.",positive,emotions of affection,love
1182,TextGrid/-Der_Tod_des_Empedokles.xml,88795,89040,"Mich ängstigte die Gegenwart des Reinen, Des Unberührbaren; doch wenn das Wort Entscheidend ihm von seinen Lippen kam, Dann wars, als tönt' ein Freudenhimmel wider In ihm und mir und ohne Widerred Ergriff es mich, doch fühlt ich nur mich freier.",negative,emotions of joy,joy
1183,TextGrid/-Der_Tod_des_Empedokles.xml,89041,89045,Ach!,negative,emotions of suffering,suffering
1184,TextGrid/-Der_Tod_des_Empedokles.xml,89046,89201,"könnt er irren, um so tiefer nur Erkennt ich ihn, den Unerschöpflichwahren, Und wenn er stirbt, so flammt aus seiner Asche Mir heller nur der Genius empor.",positive,emotions of affection,admiration
